2186,2019/06/07,19:21,23285356
2185,2019/06/07,18:00,396898
2184,2019/06/07,17:36,1123606
2183,2019/06/07,17:30,81131
2181,2019/06/07,16:53,1019993
2175,2019/06/07,16:05,5539473
2174,2019/06/07,14:27,18702614
2173,2019/06/07,14:03,4210419
2172,2019/06/07,13:51,0
2171,2019/06/07,13:47,54534
2170,2019/06/07,13:22,2872877
2169,2019/06/07,12:46,5800477
2168,2019/06/07,12:03,171360
2165,2019/06/07,10:40,4466953
2163,2019/06/07,09:47,2264041
2162,2019/06/07,09:45,162536
2161,2019/06/07,09:42,43617
2160,2019/06/07,09:37,122462
2159,2019/06/07,09:32,929
2158,2019/06/07,09:02,179326
2157,2019/06/07,08:59,467
2153,2019/06/07,05:14,11094024
2152,2019/06/07,04:08,6844968
2151,2019/06/07,03:48,2863716
2150,2019/06/07,02:32,-99
2149,2019/06/07,02:29,-99
2148,2019/06/07,01:51,5563096
2147,2019/06/07,01:24,1985888
2146,2019/06/07,01:21,62065
2142,2019/06/07,01:05,479
2141,2019/06/07,01:02,2
2140,2019/06/07,01:00,4
2139,2019/06/07,00:38,3551661
